model: GCN,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.8703573391973611,0.010603067654910236,0.8601762114537445,0.02150592032569393,0.8546491228070175,0.028947501328775167
auc_roc,0.8774729867329424,0.011771865537129642,0.8603038278396727,0.029242971702331973,0.8377378822790105,0.036261316846132194
recall,0.33587309457354764,0.08914056582576378,0.2969033338275255,0.12139358621689463,0.2978585035660111,0.10327951201157833
precision,0.8905841267217817,0.0525741400381051,0.8319883202318791,0.10548196456611504,0.8276989567244649,0.12845305875674046
f1,0.47818131162407324,0.08643932337580701,0.4194241397400855,0.12346364637868174,0.42498334372378194,0.11334786686407038
kappa,0.4228216337384314,0.08132327242810317,0.36346076383299797,0.11581685232473958,0.3656354977734004,0.11144727506405203
mcc,0.4921197748963194,0.05593354459288355,0.4319709751956943,0.09147943597182702,0.4323373077036152,0.09944668755053827
auc_prc,0.7106623211671639,0.022132469112671145,0.6555310059588291,0.06645931170289768,0.6350394123731792,0.07317279754958961
