model: GAT,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.840989554700385,0.013606598140152297,0.8406167400881057,0.024711889498430173,0.8335964912280702,0.02844337979405677
auc_roc,0.8121045656386927,0.009414901841520988,0.8205204559152777,0.03453251473613607,0.8029484276108625,0.03627520341405229
recall,0.21506916207091833,0.14537838088821708,0.21232571115631999,0.16251986510797692,0.22673563777694775,0.16180577961657255
precision,0.832409425483354,0.1373923955289511,0.8058924969178518,0.21010857520490003,0.767301542321525,0.21966886171679978
f1,0.3026091429006921,0.14981881371491182,0.2926728086694739,0.16148163213911,0.30500940934207504,0.16533637941265256
kappa,0.2528373634479232,0.12382854297911935,0.24443837048178949,0.13838432152732874,0.2516594751029863,0.14083539919113353
mcc,0.33513654984161767,0.09627195736316259,0.3257907045660054,0.11719015201758368,0.3229711965712566,0.125435105482086
auc_prc,0.5836331895216784,0.02115040675914448,0.5876538721873519,0.0700433835428349,0.5714040845506205,0.07654568963135254
