SMILES,active_label
CC1=NN(C(=N1)C1CCN(CC1)C(=O)C1CN(CC1C1=C(F)C=C(F)C=C1)C(C)(C)C)C1=CC(C)=C(Cl)C=C1,0
CC1=NN(C(=N1)C1CCN(CC1)C(=O)C1CN(CC1C1=C(F)C=C(F)C=C1)C(C)(C)C)C1=CC=C(Cl)C=C1,1
FC1=C(NC(=O)C[N+]23CCC(CC2)C(C3)OC(=O)C2(CCCCCC2)C2=CC=CC2)N=CC=C1,0
OC(=O)C1=C(C=CC(=C1)C(F)(F)F)N1CCC(C1)OC1=CC=C(F)C=C1,0
CC(NC(=O)N1CCC2=CN=C(NC3CCOCC3)N=C2C1)C1=CC(F)=C(Cl)C=C1,0
CNC(C)C(=O)NC1CCCC2CC3CCN(CCC4=CC=C(F)C=C4)CC3N2C1=O,1
CC(NC1=CC(F)=CC(F)=C1)C1=CC(=CN2C(=O)C=C(N=C12)N1CCOCC1)C(=O)N(C)C,0
COC1=C(C)C=C(C=C1)C12N(CCN1C(=O)C1=CC=CC=C21)C(=O)C1=CC(F)=C(F)C(F)=C1,0
COCCOC1=CC=C(C=C1)C1CC(N2N=CC(C(=O)NCC3=NC=C(F)C=C3)=C2N1)C(F)(F)F,0
CCC1=C(CCNCC(O)=O)C=CC=C1C1=NSC(=N1)C1=CC=C(OC(C)C)C(=C1)C(F)(F)F,0
COC1=C(OC)C=C2C(=C1)N=NC(C(N)=O)=C2NC1=CC=C(F)C=C1F,0
COC1=C(OC)C=C2C(=C1)N=NC(C(N)=O)=C2NC1=CC(C)=CC=C1F,0
COC1=C(OC)C=C2C(NC3=CC=CC(Cl)=C3F)=C(N=NC2=C1)C(N)=O,0
C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=C(O[C@H]3CC[C@@H](CC3)C(F)(F)F)N=C12,0
C[C@H](N1CC(C)(C)[C@@H](OC2=CC=C(C#N)C(=C2)C(F)(F)F)C1=O)C1=NN=C(O1)C1=CC=CC=C1,0
CC1(C)CN(CC2=NN=C(O2)C2=CC=CC=C2)C(=O)[C@@H]1OC1=CC=C(C#N)C(=C1)C(F)(F)F,0
C[C@@](N)(CCC1=CC=C(C2=NC3=CC=C(N=C3S2)C2(CC2)C2=CC=CC=C2)C(F)=C1)C(O)=O,0
CCC1=C(CCCC(O)=O)C=NC=C1C1=NSC(=N1)C1=CC=C(OC(C)C)C(=C1)C(F)(F)F,0
CCC1=C(CN(C)CC(O)=O)C=CC=C1C1=NSC(=N1)C1=CC=C(OC(C)C)C(=C1)C(F)(F)F,0
CCC1=C(CCN(C)CC(O)=O)C=CC=C1C1=NSC(=N1)C1=CC=C(OC(C)C)C(=C1)C(F)(F)F,0
CCC1=C(CN2CC(C2)C(O)=O)C=CC=C1C1=NSC(=N1)C1=CC=C(OC(C)C)C(=C1)C(F)(F)F,0
CCC1=C(CCN2CCC(CC2)C(O)=O)C=CC=C1C1=NSC(=N1)C1=CC=C(OC(C)C)C(=C1)C(F)(F)F,0
CCC1=C(CCN2CC(C2)C(O)=O)C=CC=C1C1=NSC(=N1)C1=CC=C(OC(C)C)C(=C1)C(F)(F)F,0
OC[C@H]1O[C@H](OC2=CC=C(C=C2Cl)N2C=CC3=CC(=CC=C23)C(F)(F)F)[C@@H](O)[C@@H](O)[C@@H]1O,0
[11CH3]N=C(O)[C@H](CN1CCC2(CC1)OCCC1=C2SC(F)=C1)CC1=CC=CC=C1F,0
COC1=C(F)C=CC=C1C1CCN(CC1)C1=C(C#N)C2=NN=C(CC(F)(F)F)N2C=C1,0
COC1=CC=C(F)C=C1C1CCN(CC1)C1=C(Cl)C2=NN=C(CC(F)(F)F)N2C=C1,0
COC1=C(C=CC(F)=C1F)C1CCN(CC1)C1=C(Cl)C2=NN=C(CC3CC3)N2C=C1,0
COC1=C(F)C=CC=C1C1CCN(CC1)C1=C(C2=NN=C(CC3CC3)N2C=C1)C(F)(F)F,0
COC1=C(F)C=CC(F)=C1C1CCN(CC1)C1=C(C2=NN=C(CC3CC3)N2C=C1)C(F)(F)F,0
COC1=CC=C(CNC(=O)C2=C3N[C@H](C[C@H](N3N=C2)C(F)(F)F)C2=CC=C(C)C=C2)C=N1,0
CN=C1NC=NC(=C1)C1=CSC(=N1)N(C)C(=O)C1=CC=C([18F])C=C1,0
CN1C=NC(=C1)S(=O)(=O)N1C[C@H]2[C@@H](C1)[C@]2(CN=C(O)C1=CC=CC=C1C(F)(F)F)C1=CC=CC=N1,0
FC1=CC=C(C=C1)N1CCC2=C(N=CC(COC3=CC=CC=C3)=C2)C1=O,0
FC1=CC=C(C=C1)N1CCC2=C(C=CC(COC3=CC=CC=C3)=N2)C1=O,0
FC1=CC=C(C=C1)N1CCC2=C(C=CC(COC3=CC=CC(F)=C3)=N2)C1=O,0
CCOC1=CC(=CC=C1C)C(O)=N[C@H](CC1=CC=C(N=C1)C1=CC=CC(OC(F)(F)F)=C1)C(O)=N[C@@H]1CCNC1,0
COC1=CC=C(C=C1)C12N(CCN1C(=O)C1=C2C=CC=C1)C(=O)C1=CC=C(F)C(F)=C1,0
FC1=CC=C(C=C1F)C(=O)N1CCN2C(=O)C3=CC=CC=C3C12C1CCCCC1,0
CC1=NN(C=C1S(=O)(=O)NC1=C(N2CCC(CC3=CC=CC=C3)CC2)C(=O)C1=O)C(F)F,0
CC1=C(C(C)=NO1)S(=O)(=O)NC1=C(N2CCC(CC2)NCC2=CC=C(F)C=C2)C(=O)C1=O,1
CC1=C(C(C)=NO1)S(=O)(=O)NC1=C(N2CCC(CC2)NCC2=CC=C(C=C2)C(F)(F)F)C(=O)C1=O,0
COC(=O)N(C(=O)N1COC2(C(=O)OC)C(CC3=C2C=CC(Cl)=C3)=N1)C1=CC=C(OC(F)(F)F)C=C1,0
CC1=NN(C=C1S(=O)(=O)N=C1C(=O)C(O)=C1N1CCC(CC2=CC=CC=C2)CC1)C(F)F,0
OC1=CC(CSC2=CC=CC(F)=C2F)=NC2=NC(CC3=CC=CC=C3)=NN12,0
CCCS(=O)(=O)NC1=CC=C(F)C(NC(=O)C2=C3N=CN=C(N)C3=CC=C2)=C1F,0
C[C@@H](N1C(=O)O[C@](CC2=CC=CC=C2)(C2=NC3=CC(=CC=C3N2)C(F)(F)F)C1=O)C1=CC=C(F)C=C1,0
C[C@@H](N1C(=O)O[C@](CC2=CC=CC=C2)(C2=NC3=C(C=CC=C3N2)C(F)(F)F)C1=O)C1=CC=C(F)C=C1,0
CC1=NNC(C(O)=O)=C1CC1=CC=CC(=C1)C1=CC=C(F)C=C1,0
FC1=CC(=CC=C1)C#CC1=CC=C(N=C1)C(=O)NC1CCC1,0
OC(=O)CCCOC1=CC=C(C=C1)C1=CC(OC(F)(F)F)=CC=C1Cl,0
OC(=O)CCC1=CC2=CC(=CC=C2O1)C1=CC(OC(F)(F)F)=CC=C1F,0
CN1C=C(C(=O)NC2=CC=C(C3=CC=CC=C3)C(=C2)C(F)(F)F)C(=O)C2=CC=C(CCC(O)=O)C=C12,0
CN1C=C(C(=O)NC2=CC=C(C3=CC=CC=C3)C(=C2)C(F)(F)F)C(=O)C2=CC=C(C=C12)C(O)=O,0
CN1C=C(C(=O)NC2=CC=C(C3=CC=CC=C3)C(=C2)C(F)(F)F)C(=O)C2=CN=C(CO)C=C12,0
CN1C=C(C(=O)NC2=CC=C(C3=CC=CC=C3)C(=C2)C(F)(F)F)C(=O)C2=CN=CC=C12,0
CN1C=C(C(=O)NC2=CC=C(C3=CC=CC=C3)C(=C2)C(F)(F)F)C(=O)C2=CC=C(CO)C=C12,0
CN1C=C(C(=O)NC2=CC=C(C3=CC=CC=C3)C(=C2)C(F)(F)F)C(=O)C2=CC=C(CCO)C=C12,0
CN1C=C(C(=O)NC2=CC=C(C3=CC=CC=C3)C(=C2)C(F)(F)F)C(=O)C2=CC=CC=C12,0
CN1C=C(C(=O)NC2=CC=C(C3=CC=CC=C3)C(=N2)C(F)(F)F)C(=O)C2=CN=CC=C12,0
CC12CCC3C(C1CCC2O)C(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)CC1=CC(O)=CC=C31,0
CCCN(CCC)C1=C(C=C(C(N)=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,0
CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,0
CC#C[C@@H](CC(O)=O)C1=CC=C(OCC2=CN3N=C(N=C3C=C2)C2=CC=C(OC(F)F)C=C2)C=C1,0
CC(C)(C)[C@@](C)(O)[C@H]1C[C@@]23CC[C@]1(OCC[18F])[C@@H]1OC4=C(O)C=CC5=C4[C@]21CCN(CC1CC1)[C@@H]3C5,1
CC(C)(O)[C@H]1C[C@@]23CC[C@@]1(OCC[18F])[C@@H]1OC4=C(O)C=CC5=C4[C@]21CCN(CC1CC1)[C@@H]3C5,1
CC(C)(O)C1=CN(C(=N1)C(C)(C)C1=CC=CC=C1Cl)C1=CC=C(C=C1)C1=CC(F)=C(CO)C(=C1)S(C)(=O)=O,0
CC(C)(O)C1=CN(C(=N1)C(C)(C)C1=C(Cl)C=CC=C1Cl)C1=CC=C(C=C1F)C1=CC(F)=C(CO)C(=C1)S(C)(=O)=O,0
